Target,RA,DEC,Sp. Type,T_eff [K],B [mag],V [mag],G [mag],Dist [pc],Explore data (GLS),Data products (dat),Data products (csv),RA_deg,DEC_deg
GJ9241,07:47:03.0891,-13:56:19.160,M0,,13.17,11.482,10.739,29.03,GLS of RVs | Inspect data,GJ9241_HARPS_RVBank_ver02.dat,GJ9241_HARPS_RVBank_ver02.csv,116.76287124999998,-13.938655555555556
GJ9252,08:07:00.5223,-29:24:10.577,G0V,5095.6,7.39,6.79,6.648,25.67,GLS of RVs | Inspect data,GJ9252_HARPS_RVBank_ver02.dat,GJ9252_HARPS_RVBank_ver02.csv,121.75217624999999,-29.402938055555556
GJ9254,08:09:00.6369,-61:18:08.545,F6VFe-0.8CH-0.4,,5.163,4.742,4.616,27.59,GLS of RVs | Inspect data,GJ9254_HARPS_RVBank_ver02.dat,GJ9254_HARPS_RVBank_ver02.csv,122.25265374999998,-61.30237361111111
GJ9255,08:10:39.8256,-13:47:57.141,F6.5V,6300.0,6.03,5.54,5.399,22.55,GLS of RVs | Inspect data,GJ9255_HARPS_RVBank_ver02.dat,GJ9255_HARPS_RVBank_ver02.csv,122.66593999999999,-13.799205833333334
GJ9263,08:25:49.5155,-29:55:50.133,G2.5V,,8.49,7.82,7.646,39.23,GLS of RVs | Inspect data,GJ9263_HARPS_RVBank_ver02.dat,GJ9263_HARPS_RVBank_ver02.csv,126.4563145833333,-29.9305925
GJ9268,08:31:56.2502,-50:11:20.692,K6Vk:,,12.02,10.81,10.284,40.57,GLS of RVs | Inspect data,GJ9268_HARPS_RVBank_ver02.dat,GJ9268_HARPS_RVBank_ver02.csv,127.98437583333332,-50.18908111111111
GJ9269,08:33:45.7057,-23:21:19.970,G8IV-V,,7.95,7.21,7.043,32.36,GLS of RVs | Inspect data,GJ9269_HARPS_RVBank_ver02.dat,GJ9269_HARPS_RVBank_ver02.csv,128.44044041666666,-23.355547222222224
GJ9273,08:37:50.2937,-06:48:24.779,G8/K0(IV),,7.394,6.725,6.595,24.35,GLS of RVs | Inspect data,GJ9273_HARPS_RVBank_ver02.dat,GJ9273_HARPS_RVBank_ver02.csv,129.45955708333332,-6.806883055555556
GJ9276,08:44:23.9470,-42:38:57.398,G6III,5064.5,4.917,4.046,3.826,71.23,GLS of RVs | Inspect data,GJ9276_HARPS_RVBank_ver02.dat,GJ9276_HARPS_RVBank_ver02.csv,131.09977916666662,-42.649277222222224
GJ9283,08:59:24.1816,-59:05:01.362,F4V,,5.58,5.16,5.074,26.26,GLS of RVs | Inspect data,GJ9283_HARPS_RVBank_ver02.dat,GJ9283_HARPS_RVBank_ver02.csv,134.85075666666665,-59.083711666666666
GJ9293,09:15:45.0797,-37:24:47.317,F3/5V,6387.7,5.07,4.62,4.496,49.49,GLS of RVs | Inspect data,GJ9293_HARPS_RVBank_ver02.dat,GJ9293_HARPS_RVBank_ver02.csv,138.93783208333332,-37.41314361111111
GJ9296,09:20:44.3171,-05:45:14.296,K4V,,10.259,9.082,8.669,24.15,GLS of RVs | Inspect data,GJ9296_HARPS_RVBank_ver02.dat,GJ9296_HARPS_RVBank_ver02.csv,140.18465458333333,-5.753971111111111
GJ9299,09:29:35.0524,-05:22:21.738,K7V,,11.072,9.742,9.203,24.13,GLS of RVs | Inspect data,GJ9299_HARPS_RVBank_ver02.dat,GJ9299_HARPS_RVBank_ver02.csv,142.39605166666664,-5.372705
GJ9316,10:08:22.3109,+11:58:01.951,B8IVn,,1.24,1.4,,23.76,GLS of RVs | Inspect data,GJ9316_HARPS_RVBank_ver02.dat,GJ9316_HARPS_RVBank_ver02.csv,152.0929620833333,11.967208611111111
GJ9320,10:13:24.7290,-33:01:54.194,G0V,,6.97,6.38,6.234,22.43,GLS of RVs | Inspect data,GJ9320_HARPS_RVBank_ver02.dat,GJ9320_HARPS_RVBank_ver02.csv,153.35303749999997,-33.03172055555555
GJ9322,10:14:08.3343,+03:09:04.671,G3/5V,,8.33,7.73,7.585,34.59,GLS of RVs | Inspect data,GJ9322_HARPS_RVBank_ver02.dat,GJ9322_HARPS_RVBank_ver02.csv,153.53472624999995,3.1512975
GJ9324,10:19:44.1672,+19:28:15.285,F6IV-V,,5.24,,4.657,21.22,GLS of RVs | Inspect data,GJ9324_HARPS_RVBank_ver02.dat,GJ9324_HARPS_RVBank_ver02.csv,154.93402999999998,19.470912499999997
GJ9328,10:24:14.9443,-10:24:21.128,K5.5V,,11.23,10.036,9.501,29.03,GLS of RVs | Inspect data,GJ9328_HARPS_RVBank_ver02.dat,GJ9328_HARPS_RVBank_ver02.csv,156.06226791666666,-10.40586888888889
GJ9332,10:31:21.8208,-53:42:55.740,F9VFe-0.8CH-0.7,,5.39,4.89,4.757,22.06,GLS of RVs | Inspect data,GJ9332_HARPS_RVBank_ver02.dat,GJ9332_HARPS_RVBank_ver02.csv,157.84091999999998,-53.71548333333334
GJ9338,10:53:29.5322,-20:08:19.426,F6V,6395.3,5.71,5.24,5.112,30.09,GLS of RVs | Inspect data,GJ9338_HARPS_RVBank_ver02.dat,GJ9338_HARPS_RVBank_ver02.csv,163.3730508333333,-20.138729444444444
GJ9345,11:06:32.4264,-62:25:26.810,G7.5III,4913.0,5.622,4.606,4.341,117.56,GLS of RVs | Inspect data,GJ9345_HARPS_RVBank_ver02.dat,GJ9345_HARPS_RVBank_ver02.csv,166.63510999999997,-62.42411388888889
GJ9356,11:17:13.6639,-01:58:54.674,K4/5V,,10.95,9.878,9.341,33.18,GLS of RVs | Inspect data,GJ9356_HARPS_RVBank_ver02.dat,GJ9356_HARPS_RVBank_ver02.csv,169.30693291666663,-1.981853888888889
GJ9367,11:34:21.9489,+03:03:36.593,F5.5V,6461.0,6.23,,5.645,27.04,GLS of RVs | Inspect data,GJ9367_HARPS_RVBank_ver02.dat,GJ9367_HARPS_RVBank_ver02.csv,173.59145375,3.060164722222222
GJ9381,11:55:07.2116,+00:58:25.535,M1.5V,,,,10.605,25.52,GLS of RVs | Inspect data,GJ9381_HARPS_RVBank_ver02.dat,GJ9381_HARPS_RVBank_ver02.csv,178.78004833333333,0.9737597222222222
GJ9384,12:01:07.0438,-01:43:53.588,K4,,12.05,10.95,10.535,50.35,GLS of RVs | Inspect data,GJ9384_HARPS_RVBank_ver02.dat,GJ9384_HARPS_RVBank_ver02.csv,180.27934916666666,-1.7315522222222224
GJ9391,12:09:54.9817,-46:12:30.211,K4Vk:,,9.573,8.438,8.067,19.78,GLS of RVs | Inspect data,GJ9391_HARPS_RVBank_ver02.dat,GJ9391_HARPS_RVBank_ver02.csv,182.47909041666665,-46.20839194444445
GJ9395,12:12:22.7351,-06:21:34.543,K3/4:V,,10.96,10.14,9.654,43.45,GLS of RVs | Inspect data,GJ9395_HARPS_RVBank_ver02.dat,GJ9395_HARPS_RVBank_ver02.csv,183.0947295833333,-6.359595277777777
GJ9396,12:12:28.8425,-03:05:04.109,G5V,,8.15,7.5,7.263,34.44,GLS of RVs | Inspect data,GJ9396_HARPS_RVBank_ver02.dat,GJ9396_HARPS_RVBank_ver02.csv,183.12017708333332,-3.084474722222222
GJ9398,12:15:06.5667,-07:15:26.353,G5V,5380.0,8.79,7.97,7.788,34.11,GLS of RVs | Inspect data,GJ9398_HARPS_RVBank_ver02.dat,GJ9398_HARPS_RVBank_ver02.csv,183.77736124999998,-7.257320277777778
GJ9411,12:32:04.2264,-16:11:45.618,F2V,,4.658,4.294,4.21,18.24,GLS of RVs | Inspect data,GJ9411_HARPS_RVBank_ver02.dat,GJ9411_HARPS_RVBank_ver02.csv,188.01761,-16.196005
GJ9415,12:40:46.2893,-43:33:58.991,M3V,,13.969,12.239,10.983,8.05,GLS of RVs | Inspect data,GJ9415_HARPS_RVBank_ver02.dat,GJ9415_HARPS_RVBank_ver02.csv,190.1928720833333,-43.56638638888889
GJ9423,12:54:58.5434,-44:09:06.955,F9Vp,,6.53,5.89,5.741,37.55,GLS of RVs | Inspect data,GJ9423_HARPS_RVBank_ver02.dat,GJ9423_HARPS_RVBank_ver02.csv,193.7439308333333,-44.15193194444444
GJ9429,13:08:51.0229,+05:12:26.065,G3IV+D,,7.47,,6.628,26.41,GLS of RVs | Inspect data,GJ9429_HARPS_RVBank_ver02.dat,GJ9429_HARPS_RVBank_ver02.csv,197.21259541666663,5.207240277777778
GJ9441,13:20:35.8128,-36:42:44.296,kA1.5hA3mA3Va,,2.76,2.73,2.781,17.84,GLS of RVs | Inspect data,GJ9441_HARPS_RVBank_ver02.dat,GJ9441_HARPS_RVBank_ver02.csv,200.14921999999999,-36.71230444444445
GJ9445,13:27:56.0289,-28:17:16.572,K7,7007.0,11.41,10.2,9.729,36.39,GLS of RVs | Inspect data,GJ9445_HARPS_RVBank_ver02.dat,GJ9445_HARPS_RVBank_ver02.csv,201.98345374999997,-28.287936666666667
GJ9467,14:08:27.1634,-74:51:01.032,F9.5V,,6.6,6.02,5.875,29.28,GLS of RVs | Inspect data,GJ9467_HARPS_RVBank_ver02.dat,GJ9467_HARPS_RVBank_ver02.csv,212.1131808333333,-74.85028666666666
GJ9472,14:13:31.1938,-06:57:32.336,M0V,4059.0,11.575,10.139,9.474,18.32,GLS of RVs | Inspect data,GJ9472_HARPS_RVBank_ver02.dat,GJ9472_HARPS_RVBank_ver02.csv,213.37997416666664,-6.958982222222223
GJ9473,14:16:00.8695,-06:00:01.963,F7III,,4.6,4.08,3.942,22.03,GLS of RVs | Inspect data,GJ9473_HARPS_RVBank_ver02.dat,GJ9473_HARPS_RVBank_ver02.csv,214.00362291666664,-6.0005452777777775
GJ9476,14:19:00.8956,-25:48:55.529,F9VFe-1.5CH-0.7,,6.36,5.87,5.733,17.99,GLS of RVs | Inspect data,GJ9476_HARPS_RVBank_ver02.dat,GJ9476_HARPS_RVBank_ver02.csv,214.75373166666662,-25.81542472222222
GJ9479,14:21:23.1859,-40:23:38.220,K4Vk:,,10.13,9.03,8.662,28.2,GLS of RVs | Inspect data,GJ9479_HARPS_RVBank_ver02.dat,GJ9479_HARPS_RVBank_ver02.csv,215.34660791666664,-40.39395
GJ9481,14:28:12.1389,-02:13:40.649,G2IV,5830.0,5.522,4.84,4.645,37.2,GLS of RVs | Inspect data,GJ9481_HARPS_RVBank_ver02.dat,GJ9481_HARPS_RVBank_ver02.csv,217.05057875,-2.227958055555556
GJ9482,14:29:18.5643,-46:27:49.737,K7Vk,4097.6,11.798,10.376,9.701,24.12,GLS of RVs | Inspect data,GJ9482_HARPS_RVBank_ver02.dat,GJ9482_HARPS_RVBank_ver02.csv,217.32735124999996,-46.463815833333335
GJ9498,14:50:41.1718,-15:59:49.957,F3V,6577.3,5.57,5.16,5.033,23.94,GLS of RVs | Inspect data,GJ9498_HARPS_RVBank_ver02.dat,GJ9498_HARPS_RVBank_ver02.csv,222.67154916666667,-15.997210277777777
GJ9507,15:00:43.4133,-11:08:06.469,K8Vk,,10.865,9.472,8.845,17.84,GLS of RVs | Inspect data,GJ9507_HARPS_RVBank_ver02.dat,GJ9507_HARPS_RVBank_ver02.csv,225.18088874999998,-11.135130277777778
GJ9524,15:34:41.2680,+26:42:52.894,A1IV,,2.22,2.24,,,GLS of RVs | Inspect data,GJ9524_HARPS_RVBank_ver02.dat,GJ9524_HARPS_RVBank_ver02.csv,233.67194999999998,26.714692777777778
GJ9525,15:37:01.4488,-28:08:06.397,K3.5III,,4.979,3.589,3.141,64.41,GLS of RVs | Inspect data,GJ9525_HARPS_RVBank_ver02.dat,GJ9525_HARPS_RVBank_ver02.csv,234.25603666666666,-28.135110277777777
GJ9527,15:44:01.8185,+02:30:54.600,G2.5V,5698.3,,,5.7,14.79,GLS of RVs | Inspect data,GJ9527_HARPS_RVBank_ver02.dat,GJ9527_HARPS_RVBank_ver02.csv,236.00757708333327,2.5151666666666666
GJ9536,16:10:15.0289,-84:13:53.810,G9IV-V,,8.47,7.69,7.527,34.25,GLS of RVs | Inspect data,GJ9536_HARPS_RVBank_ver02.dat,GJ9536_HARPS_RVBank_ver02.csv,242.56262041666665,-84.23161388888889
GJ9547,16:11:49.4742,-52:54:55.413,K4,3662.5,11.66,10.5,10.055,44.84,GLS of RVs | Inspect data,GJ9547_HARPS_RVBank_ver02.dat,GJ9547_HARPS_RVBank_ver02.csv,242.95614249999994,-52.915392499999996
GJ9563,16:33:27.0825,-78:53:49.733,G8III,4946.5,4.783,3.854,3.62,46.94,GLS of RVs | Inspect data,GJ9563_HARPS_RVBank_ver02.dat,GJ9563_HARPS_RVBank_ver02.csv,248.36284374999997,-78.89714805555556
GJ9565,16:32:57.8821,-12:35:30.206,M0,,11.96,10.61,10.009,31.71,GLS of RVs | Inspect data,GJ9565_HARPS_RVBank_ver02.dat,GJ9565_HARPS_RVBank_ver02.csv,248.2411754166667,-12.59172388888889
GJ9583,17:05:16.8186,+00:42:09.221,F8.5IV-V,,6.59,,5.862,20.59,GLS of RVs | Inspect data,GJ9583_HARPS_RVBank_ver02.dat,GJ9583_HARPS_RVBank_ver02.csv,256.32007749999997,0.7025613888888889
GJ9590,17:23:49.2276,-32:15:16.274,M1.5,,13.137,11.635,10.766,21.98,GLS of RVs | Inspect data,GJ9590_HARPS_RVBank_ver02.dat,GJ9590_HARPS_RVBank_ver02.csv,260.955115,-32.25452055555556
GJ9592,17:30:22.7283,+05:32:54.665,M1.0V,3895.0,10.79,9.433,8.533,10.12,GLS of RVs | Inspect data,GJ9592_HARPS_RVBank_ver02.dat,GJ9592_HARPS_RVBank_ver02.csv,262.59470125,5.548518055555555
GJ95,02:18:58.5047,-25:56:44.473,G8V,,7.07,6.34,6.148,12.83,GLS of RVs | Inspect data,GJ95_HARPS_RVBank_ver02.dat,GJ95_HARPS_RVBank_ver02.csv,34.743769583333325,-25.945686944444446
GJ9625,18:18:40.6785,-06:42:03.715,K3V,4784.5,10.32,9.29,8.919,29.91,GLS of RVs | Inspect data,GJ9625_HARPS_RVBank_ver02.dat,GJ9625_HARPS_RVBank_ver02.csv,274.66949374999996,-6.701031944444445
GJ9626,18:20:59.6428,-29:49:41.168,K2.5IIIaCN0.5,4732.7,4.069,2.668,2.297,127.44,GLS of RVs | Inspect data,GJ9626_HARPS_RVBank_ver02.dat,GJ9626_HARPS_RVBank_ver02.csv,275.2485116666666,-29.82810222222222
GJ9630,18:37:12.8396,-25:40:16.563,G4V,,8.14,7.46,7.264,30.17,GLS of RVs | Inspect data,GJ9630_HARPS_RVBank_ver02.dat,GJ9630_HARPS_RVBank_ver02.csv,279.30349833333327,-25.671267500000003
GJ9646,19:10:52.2681,-47:09:31.038,K6.5V,,10.672,9.342,8.794,20.48,GLS of RVs | Inspect data,GJ9646_HARPS_RVBank_ver02.dat,GJ9646_HARPS_RVBank_ver02.csv,287.71778374999997,-47.15862166666667
GJ9655,19:24:34.2352,-22:03:43.832,K8Vk:,,12.262,10.899,10.271,27.66,GLS of RVs | Inspect data,GJ9655_HARPS_RVBank_ver02.dat,GJ9655_HARPS_RVBank_ver02.csv,291.1426466666666,-22.062175555555555
GJ9659,19:30:52.7192,-06:30:51.925,G3V,5831.2,7.93,7.28,7.117,33.38,GLS of RVs | Inspect data,GJ9659_HARPS_RVBank_ver02.dat,GJ9659_HARPS_RVBank_ver02.csv,292.7196633333333,-6.514423611111111
GJ9661,19:34:05.3529,+07:22:44.184,K3-IIIbFe0.5,,5.63,4.45,4.087,34.0,GLS of RVs | Inspect data,GJ9661_HARPS_RVBank_ver02.dat,GJ9661_HARPS_RVBank_ver02.csv,293.52230375,7.378939999999999
GJ9663,19:37:34.4135,-14:18:06.478,F7V,6299.5,5.938,5.451,5.336,31.67,GLS of RVs | Inspect data,GJ9663_HARPS_RVBank_ver02.dat,GJ9663_HARPS_RVBank_ver02.csv,294.3933895833333,-14.301799444444445
GJ9673,19:55:50.3625,-26:17:57.693,G5IV,5553.0,5.45,4.7,4.48,23.41,GLS of RVs | Inspect data,GJ9673_HARPS_RVBank_ver02.dat,GJ9673_HARPS_RVBank_ver02.csv,298.95984375,-26.29935916666667
GJ9700,20:37:34.0320,-47:17:29.402,K0III-IV,4707.2,4.11,3.11,2.852,30.4,GLS of RVs | Inspect data,GJ9700_HARPS_RVBank_ver02.dat,GJ9700_HARPS_RVBank_ver02.csv,309.3918,-47.29150055555555
GJ9714,21:01:39.1006,-32:31:28.118,K6Vk:,,10.588,9.326,8.844,20.51,GLS of RVs | Inspect data,GJ9714_HARPS_RVBank_ver02.dat,GJ9714_HARPS_RVBank_ver02.csv,315.4129191666666,-32.524477222222224
GJ9732,21:20:09.7979,-67:39:05.621,M1.5V,,12.388,10.897,10.07,21.27,GLS of RVs | Inspect data,GJ9732_HARPS_RVBank_ver02.dat,GJ9732_HARPS_RVBank_ver02.csv,320.0408245833333,-67.6515613888889
GJ9733,21:19:51.9894,-53:26:57.933,A5IV-V,8155.0,4.641,4.483,4.45,30.25,GLS of RVs | Inspect data,GJ9733_HARPS_RVBank_ver02.dat,GJ9733_HARPS_RVBank_ver02.csv,319.96662249999997,-53.44942583333333
GJ9740,21:27:16.8569,-06:50:39.378,M0V,,12.629,11.085,10.292,16.77,GLS of RVs | Inspect data,GJ9740_HARPS_RVBank_ver02.dat,GJ9740_HARPS_RVBank_ver02.csv,321.82023708333327,-6.844271666666667
GJ9757,21:49:45.9367,-11:40:57.078,K7V,,12.2,10.67,10.216,30.64,GLS of RVs | Inspect data,GJ9757_HARPS_RVBank_ver02.dat,GJ9757_HARPS_RVBank_ver02.csv,327.4414029166666,-11.682521666666666
GJ9762,21:54:45.3087,-46:59:33.840,M3V,,13.545,11.954,10.956,15.53,GLS of RVs | Inspect data,GJ9762_HARPS_RVBank_ver02.dat,GJ9762_HARPS_RVBank_ver02.csv,328.6887862499999,-46.992733333333334
GJ9765,22:06:46.2951,-45:23:32.774,K2V,,9.28,8.43,8.204,29.98,GLS of RVs | Inspect data,GJ9765_HARPS_RVBank_ver02.dat,GJ9765_HARPS_RVBank_ver02.csv,331.69289625,-45.39243722222222
GJ9771,22:10:11.9886,+06:11:52.517,A1Va,,3.62,3.55,3.517,27.2,GLS of RVs | Inspect data,GJ9771_HARPS_RVBank_ver02.dat,GJ9771_HARPS_RVBank_ver02.csv,332.5499525,6.197921388888889
GJ9774,22:14:38.6528,-41:22:53.994,G2V,,6.88,6.23,6.063,21.78,GLS of RVs | Inspect data,GJ9774_HARPS_RVBank_ver02.dat,GJ9774_HARPS_RVBank_ver02.csv,333.6610533333333,-41.381665
GJ9787,22:33:30.6850,-35:26:40.364,G8V,,8.52,7.8,7.636,33.55,GLS of RVs | Inspect data,GJ9787_HARPS_RVBank_ver02.dat,GJ9787_HARPS_RVBank_ver02.csv,338.3778541666667,-35.44454555555555
GJ9789,22:34:41.6357,-20:42:29.576,F7V,,5.637,5.203,5.095,23.02,GLS of RVs | Inspect data,GJ9789_HARPS_RVBank_ver02.dat,GJ9789_HARPS_RVBank_ver02.csv,338.6734820833333,-20.708215555555554
GJ9790,22:36:07.7033,-54:36:38.230,G8VFe-1.3,,8.25,7.58,7.417,31.57,GLS of RVs | Inspect data,GJ9790_HARPS_RVBank_ver02.dat,GJ9790_HARPS_RVBank_ver02.csv,339.03209708333327,-54.610619444444445
GJ9797,22:50:10.5271,-41:29:24.379,G9V,,8.51,7.77,7.587,28.48,GLS of RVs | Inspect data,GJ9797_HARPS_RVBank_ver02.dat,GJ9797_HARPS_RVBank_ver02.csv,342.54386291666657,-41.49010527777778
GJ97,02:22:32.5904,-23:49:00.479,G0V,5908.0,5.802,5.198,5.018,23.3,GLS of RVs | Inspect data,GJ97_HARPS_RVBank_ver02.dat,GJ97_HARPS_RVBank_ver02.csv,35.635793333333325,-23.81679972222222
GJ9801,22:52:24.0744,+09:50:08.394,F6V,,5.64,,5.022,27.35,GLS of RVs | Inspect data,GJ9801_HARPS_RVBank_ver02.dat,GJ9801_HARPS_RVBank_ver02.csv,343.1003099999999,9.835665
GJ9803,22:55:49.9773,-07:49:21.386,G6V,,8.65,8.01,7.852,36.02,GLS of RVs | Inspect data,GJ9803_HARPS_RVBank_ver02.dat,GJ9803_HARPS_RVBank_ver02.csv,343.95823874999996,-7.822607222222222
GJ9824,23:23:04.8953,-10:45:51.277,K2V,,8.695,7.796,7.543,19.17,GLS of RVs | Inspect data,GJ9824_HARPS_RVBank_ver02.dat,GJ9824_HARPS_RVBank_ver02.csv,350.7703970833333,-10.76424361111111
GJ9827,23:27:04.8376,-01:17:10.582,K6V,,11.57,10.1,9.841,29.65,GLS of RVs | Inspect data,GJ9827_HARPS_RVBank_ver02.dat,GJ9827_HARPS_RVBank_ver02.csv,351.7701566666666,-1.2862727777777776
GJ9828,23:29:34.4361,-47:02:09.696,K6+Vk:,4299.2,11.51,10.27,9.67,29.18,GLS of RVs | Inspect data,GJ9828_HARPS_RVBank_ver02.dat,GJ9828_HARPS_RVBank_ver02.csv,352.39348375,-47.036026666666665
GJ9829,23:31:31.5027,-04:05:14.650,F7V,,7.03,6.49,6.363,25.83,GLS of RVs | Inspect data,GJ9829_HARPS_RVBank_ver02.dat,GJ9829_HARPS_RVBank_ver02.csv,352.88126124999997,-4.087402777777777
GJ9833,23:39:51.3061,-32:44:36.264,G9.5V,,8.002,7.191,6.973,18.28,GLS of RVs | Inspect data,GJ9833_HARPS_RVBank_ver02.dat,GJ9833_HARPS_RVBank_ver02.csv,354.9637754166666,-32.743406666666665
GJ9835,23:42:10.6428,-02:34:36.175,K7V,,11.664,10.293,9.7,24.82,GLS of RVs | Inspect data,GJ9835_HARPS_RVBank_ver02.dat,GJ9835_HARPS_RVBank_ver02.csv,355.54434499999996,-2.5767152777777778
GJ9836,23:42:43.3453,-14:32:41.659,B9V,9423.3,4.448,4.484,4.474,47.86,GLS of RVs | Inspect data,GJ9836_HARPS_RVBank_ver02.dat,GJ9836_HARPS_RVBank_ver02.csv,355.6806054166666,-14.544905277777778
GJ9845,23:57:14.3816,-16:30:27.366,K7V,,12.06,10.947,10.348,36.7,GLS of RVs | Inspect data,GJ9845_HARPS_RVBank_ver02.dat,GJ9845_HARPS_RVBank_ver02.csv,359.3099233333333,-16.507601666666666
GJ9847,00:01:25.8392,-16:56:54.392,K7.0V,,12.29,10.62,10.098,31.49,GLS of RVs | Inspect data,GJ9847_HARPS_RVBank_ver02.dat,GJ9847_HARPS_RVBank_ver02.csv,0.3576633333333333,-16.948442222222223
HATS-17,12:48:45.5454,-47:36:49.289,,5483.7,13.105,12.39,12.208,398.92,GLS of RVs | Inspect data,HATS-17_HARPS_RVBank_ver02.dat,HATS-17_HARPS_RVBank_ver02.csv,192.1897725,-47.61369138888889
HATS-31,12:46:48.6784,-24:25:38.569,,5808.3,13.69,13.11,12.946,817.06,GLS of RVs | Inspect data,HATS-31_HARPS_RVBank_ver02.dat,HATS-31_HARPS_RVBank_ver02.csv,191.70282666666665,-24.42738027777778
HATS-6,05:52:35.2366,-19:01:53.970,M1V,3699.0,16.664,15.16,14.345,169.71,GLS of RVs | Inspect data,HATS-6_HARPS_RVBank_ver02.dat,HATS-6_HARPS_RVBank_ver02.csv,88.14681916666666,-19.031658333333333
HATS-72,22:36:06.3189,-16:59:59.788,,4628.8,13.572,12.469,12.065,127.59,GLS of RVs | Inspect data,HATS-72_HARPS_RVBank_ver02.dat,HATS-72_HARPS_RVBank_ver02.csv,339.02632874999995,-16.999941111111113
HD100069,11:31:00.6892,+09:37:12.488,G5,5877.7,8.64,7.99,7.833,88.04,GLS of RVs | Inspect data,HD100069_HARPS_RVBank_ver02.dat,HD100069_HARPS_RVBank_ver02.csv,172.75287166666666,9.620135555555557
HD10008,01:37:35.4667,-06:45:37.529,K0/1V,5303.0,8.459,7.656,7.466,24.06,GLS of RVs | Inspect data,HD10008_HARPS_RVBank_ver02.dat,HD10008_HARPS_RVBank_ver02.csv,24.397777916666666,-6.760424722222222
HD1000,00:14:20.7993,-21:11:49.066,F7V,6355.0,7.38,6.91,6.775,57.76,GLS of RVs | Inspect data,HD1000_HARPS_RVBank_ver02.dat,HD1000_HARPS_RVBank_ver02.csv,3.5866637499999996,-21.196962777777777
HD100282,11:31:34.9564,-67:43:54.635,F0III,7141.3,8.64,8.33,8.279,126.85,GLS of RVs | Inspect data,HD100282_HARPS_RVBank_ver02.dat,HD100282_HARPS_RVBank_ver02.csv,172.89565166666665,-67.73184305555556
HD100289,11:32:14.4387,-31:22:58.497,G8/K0V,5475.0,9.73,8.98,8.816,56.31,GLS of RVs | Inspect data,HD100289_HARPS_RVBank_ver02.dat,HD100289_HARPS_RVBank_ver02.csv,173.06016125,-31.382915833333335
HD100334,11:32:08.0595,-58:30:16.815,F6V,6359.7,9.38,8.94,8.796,103.65,GLS of RVs | Inspect data,HD100334_HARPS_RVBank_ver02.dat,HD100334_HARPS_RVBank_ver02.csv,173.03358124999997,-58.504670833333336
HD100336,11:32:09.9955,-65:25:11.458,M4,3533.2,11.97,10.2,9.371,1793.72,GLS of RVs | Inspect data,HD100336_HARPS_RVBank_ver02.dat,HD100336_HARPS_RVBank_ver02.csv,173.04164791666665,-65.41984944444445
HD100363,11:32:51.5723,-12:02:06.475,F8V,7133.2,8.89,8.65,8.56,170.08,GLS of RVs | Inspect data,HD100363_HARPS_RVBank_ver02.dat,HD100363_HARPS_RVBank_ver02.csv,173.21488458333332,-12.035131944444444
HD100407,11:33:00.1149,-31:51:27.447,G7IIIb,4817.5,4.47,3.54,3.292,40.06,GLS of RVs | Inspect data,HD100407_HARPS_RVBank_ver02.dat,HD100407_HARPS_RVBank_ver02.csv,173.25047874999998,-31.857624166666668
HD10042,01:33:39.1710,-78:30:17.351,K0III,4942.8,7.077,6.103,5.854,117.57,GLS of RVs | Inspect data,HD10042_HARPS_RVBank_ver02.dat,HD10042_HARPS_RVBank_ver02.csv,23.413212499999997,-78.50481972222222
HD100453B,11:33:05.5767,-54:19:28.537,M4.0V,7266.8,,15.88,,,GLS of RVs | Inspect data,HD100453B_HARPS_RVBank_ver02.dat,HD100453B_HARPS_RVBank_ver02.csv,173.27323625,-54.32459361111111
HD100453,11:33:05.5766,-54:19:28.547,A9Ve,7266.8,8.09,7.79,7.735,103.78,GLS of RVs | Inspect data,HD100453_HARPS_RVBank_ver02.dat,HD100453_HARPS_RVBank_ver02.csv,173.27323583333333,-54.32459638888889
HD100508,11:33:13.0904,-67:03:16.497,K1IV,,8.57,7.74,7.539,32.78,GLS of RVs | Inspect data,HD100508_HARPS_RVBank_ver02.dat,HD100508_HARPS_RVBank_ver02.csv,173.30454333333333,-67.0545825
HD100655,11:35:03.7532,+20:26:29.562,G9III,4891.0,7.468,6.438,6.191,138.23,GLS of RVs | Inspect data,HD100655_HARPS_RVBank_ver02.dat,HD100655_HARPS_RVBank_ver02.csv,173.76563833333333,20.441545
HD10069,01:37:25.0332,-45:40:40.374,F6IV/V,6462.0,9.74,9.3,9.174,123.51,GLS of RVs | Inspect data,HD10069_HARPS_RVBank_ver02.dat,HD10069_HARPS_RVBank_ver02.csv,24.354305,-45.677881666666664
HD100773,11:35:13.7157,-60:53:40.397,F0/2V,7043.1,6.892,6.564,6.497,54.48,GLS of RVs | Inspect data,HD100773_HARPS_RVBank_ver02.dat,HD100773_HARPS_RVBank_ver02.csv,173.80714874999998,-60.894554722222225
HD100777,11:35:51.5232,-04:45:20.504,G8V,5532.5,9.19,8.42,8.25,49.61,GLS of RVs | Inspect data,HD100777_HARPS_RVBank_ver02.dat,HD100777_HARPS_RVBank_ver02.csv,173.96468,-4.755695555555556
HD100788,11:35:34.3528,-52:28:08.303,F8V,5920.0,9.22,8.66,8.513,88.72,GLS of RVs | Inspect data,HD100788_HARPS_RVBank_ver02.dat,HD100788_HARPS_RVBank_ver02.csv,173.89313666666663,-52.46897305555556
