toi,name,exofop_url,harps_url
TOI0471,WASP-101,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0471,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-101_RVs/WASP-101_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0488,GJ3473,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0488,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/GJ3473_RVs/GJ3473_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0495,WASP-121,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0495,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-121_RVs/WASP-121_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0499,TOI-499,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0499,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TOI-499_RVs/TOI-499_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0500,GJ9224,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0500,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/GJ9224_RVs/GJ9224_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0502,TYC6520-198-1,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0502,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC6520-198-1_RVs/TYC6520-198-1_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0510,HD52758A,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0510,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD52758A_RVs/HD52758A_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0522,HD69789,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0522,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD69789_RVs/HD69789_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0544,HD290498,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0544,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD290498_RVs/HD290498_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0560,GJ313,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0560,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/GJ313_RVs/GJ313_HARPS_RVBank_ver02_rvsonly.dat&run
